Sex_M	Age	Age2	pEUR	Height	PRS0	f1	f2	R2_PRS0	Rep	Label2	SE_PRS0	ss1	Test_Data	N	Label
1	58	3364	0.18646724832963	180.97	-0.512504132343671	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	5.013	1000	pEUR>0.17	1.421	PRS_META_NEA	HRS_AFR	249985	META_AFR+PAGE+BBJ
1	67	4489	1	183.52	-1.61594996196575	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	1.979	1000	all	0.275	PRS_META_AFR	HRS_EUR	41109	META_AFR
1	67	4489	1	183.52	-0.0590587499954782	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	3.652	1000	all	0.369	PRS_META_AFR2	HRS_EUR	90890	META_AFR+PAGE
1	67	4489	1	183.52	2.08908568838672	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	18.819	1000	all	0.708	PRS_UKBB	HRS_EUR	360388	UKBB
1	67	4489	1	183.52	1.36758206514213	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	11.526	1000	all	0.581	PRS_GIANT	HRS_EUR	253280	GIANT
1	67	4489	1	183.52	1.31239461315525	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	5.235	1000	all	0.433	PRS_PAGE	HRS_EUR	49781	PAGE
1	67	4489	1	183.52	3.07971341924562	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	6.637	1000	all	0.463	PRS_BBJ	HRS_EUR	159095	BBJ
1	67	4489	1	183.52	2.53397635536648	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	16.13	1000	all	0.654	PRS_META_ALL	HRS_EUR	610373	UKBB+BBJ+META_AFR+PAGE
1	67	4489	1	183.52	2.15450754074841	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	18.834	1000	all	0.708	PRS_META_ALL2	HRS_EUR	660019	UKBB+GIANT+BBJ+META_AFR+PAGE
1	67	4489	1	183.52	1.6821656531507	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	16.769	1000	all	0.71	PRS_META_EUR	HRS_EUR	613667	UKBB+GIANT
1	67	4489	1	183.52	2.1696263784848	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	7.662	1000	all	0.513	PRS_META_NEA	HRS_EUR	249985	META_AFR+PAGE+BBJ
1	58	3364	0.008001	173	1.74328573432352	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	0.768	1000	all	0.475	PRS_META_AFR	UKB_CHI	41109	META_AFR
1	58	3364	0.008001	173	0.572777547970514	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	3.715	1000	all	0.964	PRS_META_AFR2	UKB_CHI	90890	META_AFR+PAGE
1	58	3364	0.008001	173	1.78541845669521	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	8.312	1000	all	1.432	PRS_UKBB	UKB_CHI	360388	UKBB
1	58	3364	0.008001	173	1.04701383489776	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	6.089	1000	all	1.261	PRS_GIANT	UKB_CHI	253280	GIANT
1	58	3364	0.008001	173	0.188435820324075	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	5.568	1000	all	1.186	PRS_PAGE	UKB_CHI	49781	PAGE
1	58	3364	0.008001	173	2.20702754086527	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	4.73	1000	all	1.06	PRS_BBJ	UKB_CHI	159095	BBJ
1	58	3364	0.008001	173	1.98910827076399	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	8.525	1000	all	1.385	PRS_META_ALL	UKB_CHI	610373	UKBB+BBJ+META_AFR+PAGE
1	58	3364	0.008001	173	2.21376143707568	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	10.373	1000	all	1.472	PRS_META_ALL2	UKB_CHI	660019	UKBB+GIANT+BBJ+META_AFR+PAGE
1	58	3364	0.008001	173	1.7029950246585	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	7.504	1000	all	1.398	PRS_META_EUR	UKB_CHI	613667	UKBB+GIANT
1	58	3364	0.008001	173	2.58345143774918	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	3.467	1000	all	0.896	PRS_META_NEA	UKB_CHI	249985	META_AFR+PAGE+BBJ
